"","ERR475467","ERR475468","ERR475469","ERR475470","ERR475471","ERR475472","ERR475473","ERR475474","ERR475475","ERR475476","ERR475477","ERR475478","ERR475479","ERR475480","ERR475481","ERR475482","ERR475483","ERR475484","ERR475485","ERR475486","ERR475487","ERR475488","ERR475489","ERR475490","ERR475491","ERR475492","ERR475493","ERR475494","ERR475495","ERR475496","ERR475497","ERR475498","ERR475499","ERR475500","ERR475501","ERR475502","ERR475503","ERR475504","ERR475505","ERR475506","ERR475507","ERR475508","ERR475509","ERR475510","ERR475511","ERR475512","ERR475513","ERR475514","ERR475515","ERR475516","ERR475517","ERR475518","ERR475519","ERR475520","ERR475521","ERR475522","ERR475523","ERR475524","ERR475525","ERR475526","ERR475527","ERR475528","ERR475529","ERR475530","ERR475531","ERR475532","ERR475533","ERR475534","ERR475535","ERR475536","ERR475537","ERR475538","ERR475539","ERR475540","ERR475541","ERR475542","ERR475543","ERR475544","ERR475545","ERR475546","ERR475547","ERR475548","ERR475549","ERR475550","ERR475551","ERR475552","ERR475553","ERR475554","ERR475555","ERR475556","ERR475557","ERR475558","ERR475559","ERR475560","ERR475561","ERR475562","ERR475563","ERR475564","ERR475565","ERR475566","ERR475567","ERR475568","ERR475569","ERR475570","ERR475571","ERR475572","ERR475573","ERR475574","ERR475575","ERR475576","ERR475577","ERR475578","ERR475579","ERR475580","ERR475581","ERR475582","ERR475583","ERR475584","ERR475585","ERR475586","ERR475587","ERR475588","ERR475589","ERR475590","ERR475591","ERR475592","ERR475593","ERR475594","ERR475595"
"Anaerovoracaceae_Family.XIII.AD3011.group",20,519,370,302,46,15,14,171,101,53,64,697,101,150,94,681,112,29,287,56,158,11,35,222,0,14,223,235,67,182,170,673,1794,155,0,439,774,708,886,1770,460,2333,148,151,176,393,621,277,596,275,210,182,1155,296,307,310,12,695,394,802,384,211,35,91,35,138,268,762,172,541,1169,282,56,117,661,615,132,177,355,504,930,424,807,1027,14,77,640,116,597,373,1616,280,620,1776,1238,34,398,129,160,635,17,730,490,2011,952,1500,669,1685,503,561,385,73,18,128,467,1007,139,314,424,466,226,56,314,141,188,381,888,0,36
"Lachnospiraceae_Tyzzerella",0,0,0,0,0,2,73,0,20,0,0,0,0,82,7,102,134,0,0,0,0,0,0,0,250,42,0,0,0,123,0,1270,0,121,0,0,0,0,0,0,0,0,0,0,1279,0,1180,0,1298,0,341,0,21,0,0,138,366,0,0,0,0,0,0,48,0,0,0,754,0,199,0,524,0,0,1575,0,0,0,0,0,0,0,637,0,0,53,0,0,0,7,0,39,0,2680,316,546,0,0,463,450,0,0,0,0,0,0,0,40,0,55,218,0,0,0,0,0,1874,894,0,0,0,0,0,142,0,0,0,0,0
"Peptostreptococcaceae_Peptostreptococcus",0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,60,0,9,22,0,0,0,13,0,30,0,0,15,208,0,5,46,42,0,6287,0,8,0,8,117,0,8,200,0,242,6,661,0,73,14,0,0,20,0,19,177,19,0,0,0,0,0,31,0,0,0,11,0,0,0,8,0,1787,9,0,13,0,0,0,0,0,0,6,83,340,34,0,0,8,0,0,93,0,0,5520,0,0,412,0,0,1054,0,37,0,0,0,133,2240,11,0,0
"Oscillospiraceae_Colidextribacter",0,281,195,329,152,95,58,552,49,139,164,554,66,11,79,10,26,86,207,0,22,101,53,262,0,89,176,151,69,195,31,2137,547,489,156,553,3916,2372,1845,0,1300,2738,917,78,716,372,951,212,512,931,31,77,1011,435,293,278,0,505,522,776,665,715,32,1169,571,54,494,813,845,1469,219,653,219,326,851,226,258,603,165,218,122,497,24,712,489,668,26,108,31,790,686,284,0,894,795,316,384,0,119,648,213,287,1028,1705,59,721,166,273,355,93,554,352,3008,507,448,1279,287,633,471,962,126,0,315,146,156,400,480,48,67
"Erysipelatoclostridiaceae_Catenibacterium",0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,1106,0,0,0,0,0,0,0,0,0,0,0,0,0,670,0,0,0,0,0,0,0,0,0,0,0,0,3941,0,1020,0,0,6042,0,0,0,331,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,732,33,0,0,0,0,0,0,186,0,0,0,0,0,0,1828,0,0,0,0,0,0,0,356,0,0,0,0,0,3178,0,0,0,91,0,1706,0,0,0,0,0,0,0,0,23,0,0,1568,0,1047
"Family.XI_Parvimonas",0,3,0,6,0,0,0,0,0,18,0,0,0,0,0,27,0,0,0,0,0,4,0,0,0,0,0,0,17,0,10,3,0,43,0,8,0,11,0,57,0,0,18,0,0,6,136,0,0,198,0,17,15052,3,33,4,40,6,10,801,240,0,144,0,977,0,24,8,4,0,0,0,4,0,16,45,13,10,0,0,524,7,13,51,11,0,22,0,21,0,291,6,24,48,7,5,0,0,0,16,0,0,104,34,6,5,21,0,44,43,0,95,600,0,31,513,8,6,286,3,199,0,0,0,371,71,9,0,0
"Peptostreptococcaceae_Terrisporobacter",0,845,0,0,0,66,0,0,0,0,177,190,142,0,0,52,0,0,0,0,24,62,0,104,0,103,382,375,180,0,30,2597,40,17,34,0,36,32,165,0,0,1308,9,0,0,0,33,282,0,185,0,0,34,0,0,0,107,69,420,162,24,0,0,0,0,0,0,0,173,21,0,32,0,0,0,0,0,0,0,0,3715,13,13,0,0,0,270,48,0,1236,180,0,56,348,48,0,0,0,0,11,0,0,75,0,0,49,0,0,0,29,258,69,0,0,27,0,41,594,810,0,261,0,26,0,135,161,146,0,102
"Lachnospiraceae_Lachnospiraceae.FCS020.group",0,219,80,12,56,70,48,33,0,0,43,220,351,0,12,0,295,88,43,50,123,111,77,76,0,15,329,75,78,119,452,167,252,0,488,319,208,136,79,358,139,1017,37,340,90,370,437,278,0,352,151,111,427,0,222,294,0,9,364,418,177,19,132,109,28,114,7,34,205,168,376,269,0,0,148,0,55,48,89,45,22,401,185,596,452,322,375,177,489,285,95,12,1165,241,798,0,33,37,0,431,0,18,87,582,147,957,169,54,105,0,54,51,19,0,171,30,301,410,121,9,425,0,0,191,202,99,293,0,60
"Synergistaceae_Cloacibacillus",0,0,0,22,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,9296,8427,0,0,0,30,0,0,0,0,11083,0,0,0,0,16,0,0,0,0,0,0,3,0,0,0,25,383,0,39,0,6108,0,0,0,97,0,99,0,0,0,26,0,0,0,5966,0,256,0,0,0,0,0,0,0,0,0,6,0,149,0,0,0,0,10,0,0,0,0,0,345,0,0,0,0,0,24,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lachnospiraceae_Tuzzerella",0,16,0,0,0,20,0,0,12,0,11,0,0,0,0,51,0,51,0,0,0,0,270,0,0,0,0,0,0,0,0,0,0,0,0,387,0,6,13,993,11,0,274,0,32,0,333,0,0,0,0,0,0,0,313,0,0,0,0,0,0,0,3842,11,7,0,0,31,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,21,0,0,0,852,0,2006,0,0,0,0,45,0,0,8,0,128,0,288,0,12,0,0,0,0,0,33,0,0,143,0,14,15,13,0,5131,0,0,0,14,12,17,42,20,0
"Lachnospiraceae_Lachnospiraceae.UCG.001",0,141,0,506,164,238,85,129,182,12,112,0,19,0,23,0,29,168,34,12,0,207,0,74,0,0,197,15,42,20,38,428,0,0,0,127,0,0,0,0,1130,150,659,0,7,0,68,290,192,77,0,120,238,0,66,1267,0,0,633,748,89,0,0,0,285,457,0,70,41,902,248,448,0,0,230,0,64,0,0,23,130,87,106,289,0,432,63,0,0,930,0,38,8,1140,288,0,0,0,280,16,0,0,1844,0,0,298,886,0,196,0,1865,0,0,0,58,242,494,1457,192,0,467,0,0,232,0,55,198,0,0
"Selenomonadaceae_Megamonas",0,0,0,0,3,0,0,0,0,0,0,8,0,6,0,0,0,0,479,0,0,0,229,0,6091,0,0,0,0,0,3,5,0,0,0,0,7,0,0,135,0,0,0,0,0,0,0,0,0,0,0,0,0,24,2293,183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1571,4,0,0,0,0,0,0,0,0,0,0,963,0,0,0,0,6,0,0,0,3154,0,0,0,0,0,4,10,1411,0,0,0,0,0
"Lactobacillaceae_Ligilactobacillus",0,0,0,0,0,0,0,0,0,0,0,1338,0,0,0,69,0,0,236,0,0,0,0,0,0,0,0,0,0,0,9,4863,298,23,0,0,0,0,0,0,0,7057,0,216,0,281,0,168,8,0,0,0,0,0,216,10,0,0,0,0,0,0,0,0,0,0,0,5418,0,0,8805,0,0,0,0,0,0,0,0,183,0,0,0,0,0,0,0,0,2566,0,0,79,9,0,0,30,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lachnospiraceae_Marvinbryantia",0,158,440,64,44,25,21,7,26,6,161,103,177,54,33,31,245,148,121,28,436,119,803,22,0,22,440,156,51,312,86,217,387,66,0,467,158,257,45,211,140,782,170,0,0,736,373,373,842,422,62,608,435,180,23,278,0,0,2038,177,804,9,108,0,418,0,164,99,149,132,271,479,0,0,492,212,230,44,80,114,206,416,299,437,82,486,938,139,205,713,387,174,620,387,434,0,1112,204,0,66,0,78,531,47,138,200,895,1410,17,0,65,59,8,85,279,250,535,162,221,120,0,0,222,172,8,162,417,0,122
"Enterobacteriaceae_Citrobacter",0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123,0,0,0,0,0,0,0,0,0,0,0,0,42,1996,0,0,0,10,0,132,0,0,0,0,0,0,0,11,0,740,0,0,965,46,16,0,0,0,0,0,0,0,0,0,0,0,0,0,343,11,254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,389,0,0,0,8,0,0,0,0,0,0,7374,0,0,0,0,0,0,0
"Pasteurellaceae_Haemophilus",17,169,0,0,5,74,71,0,2,4,532,125,0,0,5,0,0,12,0,0,0,0,0,19,0,88,2624,12,57,0,185,1312,79,107,64,0,14,0,0,0,125,196,4,18,363,0,7,90,0,25,0,0,127,0,213,46,11,4,205,329,0,9,108,0,0,35,7,28,37,87,102,118,90,77,98,29,17,69,0,0,0,6,0,62,137,182,0,51,0,47,0,5,0,0,0,0,123,0,111,30,4,0,14,4,0,0,55,0,3,32,176,0,195,0,0,0,0,27,1006,5,1478,0,0,0,0,158,10,0,245
"Sutterellaceae_Sutterella",336,13,113,57,221,26,0,67,35,6,0,38,11,0,34,0,0,123,68,0,0,186,0,6,534,171,633,0,277,0,0,1388,1855,14,100,113,875,0,0,0,1163,4152,7,1838,0,0,1912,54,259,0,0,314,448,2,243,1576,0,341,461,499,528,1366,0,905,721,96,63,188,248,0,26,321,0,2987,1738,25,246,295,668,11,26,179,0,102,0,0,0,803,0,127,28,30,4,91,9,146,130,0,0,135,0,188,444,764,0,29,597,16,0,0,0,0,1906,0,550,3,461,264,455,0,0,32,0,2234,0,2061,567,19,0
"Prevotellaceae_Prevotella_7",0,0,0,0,17,0,0,8,0,0,0,0,399,0,0,0,0,0,90,0,0,0,0,0,0,61,559,0,2793,0,0,0,148,18,0,0,11,0,0,0,1284,0,0,0,0,0,0,18250,0,0,0,0,0,0,0,80,0,58,0,0,102,31,0,109,207,0,62,0,11329,0,0,0,0,961,0,0,153,277,0,568,193,0,0,0,1048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,359,0,0,0,0,0,0,15,0,0,0,0,0,0,6
"Lachnospiraceae_Eisenbergiella",19,0,16,55,0,0,0,166,21,48,0,10,0,30,20,82,0,12,0,0,12,0,36,0,0,0,0,15,0,62,0,61,483,242,174,0,398,1395,64,1722,155,32,616,36,446,13,799,0,139,21,16,19,2341,213,91,0,0,395,17,219,0,79,66,239,113,131,40,67,0,321,51,0,157,161,9,389,0,284,562,12,0,9,0,14,33,0,17,0,129,0,138,73,15,0,30,68,82,0,17,36,961,0,249,22,8,36,79,121,0,1641,257,115,0,31,0,873,0,22,0,809,77,0,134,57,1147,34,14,4704,0
"Lachnospiraceae_Lachnospiraceae.UCG.003",0,8,0,0,131,0,200,0,0,0,1809,0,0,0,0,0,0,0,0,0,0,415,0,44,0,80,1761,0,0,0,0,0,0,0,0,194,0,0,0,0,1964,0,0,0,0,0,0,0,76,334,0,0,0,0,0,0,0,0,5496,256,0,0,0,0,0,7,0,0,0,0,88,1034,0,0,0,0,233,0,0,0,0,0,0,0,346,183,0,0,0,1817,0,0,0,0,0,0,0,0,373,16,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,10,0,15,0,0,0,0,0,0,0,808,146,0,0
"Lachnospiraceae_Frisingicoccus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,119,0,0,0,0,0,0,97,0,0,0,0,0,0,121,0,36,0,376,0,0,62,818,0,34,0,0,3853,0,374,0,128,0,0,0,0,0,0,0,47,0,0,241,0,0,27,0,0,402,0,28,0,0,0,0,0,0,103,51,0,0,0,0,0,0,0,39,0,9,0,0,138,0,0,0,0,0,54,988,36,0,0,0,0,0,0,0,0,0,67,0,0,103,0,0,0,90,0,201,0,0,0,0,0,101,0,0,954,322,198,0,0,0,0
"Lachnospiraceae_Howardella",0,0,0,58,0,0,225,0,0,0,93,453,0,0,0,5,413,0,42,0,117,32,0,104,0,0,0,66,0,0,0,0,521,0,0,0,0,0,0,0,0,0,3,0,0,0,0,320,0,0,0,656,0,0,0,276,0,0,966,814,149,39,82,0,19,54,0,0,430,222,0,0,28,109,180,0,0,0,0,331,74,0,0,0,0,0,0,103,0,0,0,0,0,0,414,288,0,0,0,0,0,134,0,0,0,0,0,0,460,0,261,0,0,0,293,30,0,0,0,0,0,0,0,208,0,0,459,0,46
"Acholeplasmataceae_Anaeroplasma",3,12,0,0,0,0,0,0,0,68,0,26,0,0,0,0,0,0,0,0,0,1406,0,0,0,1609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4256,0,0,0,0,27,0,0,33,0,0,11,0,0,580,0,0,0,0,0,0,4,0,0,0,0,0,0,65,0,0,0,0,16,0,47,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1191,0,0,0,0,0,0,0,31,0,0
"Ruminococcaceae_Anaerotruncus",0,9,12,0,3,0,0,17,0,9,0,13,0,0,0,0,0,0,22,0,0,0,0,10,0,0,0,0,0,4,0,71,203,27,0,33,129,407,86,0,50,58,3807,0,9,0,205,0,0,6,0,0,47,28,30,0,0,52,8,9,12,0,0,215,0,43,0,0,0,0,0,0,11,684,45,0,0,176,29,64,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,4,0,0,0,10,0,0,599,131,12,0,0,0,52,0,0,0,73,0,57,2488,0,44,72,0,125,0
"Lachnospiraceae_GCA.900066575",28,137,47,28,156,56,52,174,18,48,122,58,32,34,28,45,16,93,0,20,16,27,33,35,0,14,199,16,31,0,114,230,0,77,0,60,143,92,39,0,1129,398,278,0,280,111,198,116,110,474,0,43,41,97,279,126,0,0,179,67,103,45,22,0,10,58,68,386,82,462,65,212,0,0,95,20,71,0,0,5,79,121,366,150,0,123,18,112,37,131,433,0,60,169,57,0,133,0,0,72,0,91,344,60,0,71,66,54,16,0,36,6,20,0,37,9,348,59,115,36,16,0,1290,0,25,321,110,29,10
"Erysipelatoclostridiaceae_Erysipelatoclostridium",0,89,12,0,0,0,0,57,6,69,11,27,0,0,0,17,0,0,0,0,4,10,0,8,11,0,7,73,8,67,78,165,0,84,493,151,351,75,37,619,0,0,510,53,40,11,2,0,21,40,0,5,306,0,0,28,0,923,4,18,3,0,15,8,37,54,0,0,11,216,137,9,11,32,0,232,10,0,0,0,0,0,47,37,234,6,40,0,17,0,43,53,215,26,28,711,262,0,3,235,569,0,9,11,28,15,7,934,4,0,9,0,9,124,0,0,5,52,35,396,100,2702,10,75,62,384,47,294,17
"Gemellaceae_Gemella",0,0,28,0,0,0,0,2,0,15,14,41,30,0,5,85,5,0,11,0,0,24,17,0,38,14,60,8,2,11,38,87,73,0,0,71,25,15,0,0,28,0,48,0,50,0,27,0,12,318,182,69,1596,0,110,9,133,109,21,23,4,0,5,15,19,0,52,23,41,0,54,20,0,40,50,162,17,0,35,64,237,0,161,156,12,66,41,0,167,15,36,24,20,10,119,0,68,0,49,13,19,0,807,16,165,0,16,50,34,0,0,0,561,20,47,21,47,28,71,19,449,0,83,19,0,386,23,11,42
"Erysipelotrichaceae_Turicibacter",9,209,0,0,0,34,16,0,0,0,23,37,207,0,3,150,9,11,0,10,18,171,0,0,33,24,300,321,129,0,4,96,12,80,0,0,15,0,61,0,11,760,0,0,18,0,17,74,0,31,16,0,42,0,0,0,413,84,1285,281,228,0,0,0,9,0,40,0,222,0,104,144,0,0,0,11,40,17,0,0,733,72,5,5,0,8,46,8,0,804,485,0,201,0,0,0,13,0,6,230,0,0,430,26,0,320,0,0,0,0,175,18,0,0,65,32,7,24,803,0,368,0,224,0,158,178,94,7,124
"Eubacteriaceae_Eubacterium",0,8,41,6,0,0,0,0,0,0,0,0,0,72,2,248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,1519,0,26,0,180,0,0,2079,0,0,0,0,0,0,0,6,0,0,0,0,0,391,0,0,0,269,10,29,0,9,0,358,0,11,0,6,29,7,80,0,0,0,0,511,0,1012,0,0,6,0,0,181,0,0,41,0,0,18,347,41,22,0,0,0,32,0,0,0,0,0,88,0,0,324,0,66,62,2792,26,134,0,62,0,0,0,0,0,0,0,3433,84,0,0,0,0,0,5
"Oscillospiraceae_Oscillospira",9,50,48,205,103,8,0,10,0,0,102,168,0,0,0,0,0,110,0,0,0,0,13,73,0,0,43,5,16,32,0,0,167,528,1804,0,74,853,334,0,871,209,556,0,19,0,96,29,66,64,0,123,0,0,27,21,0,15,24,0,869,447,0,1251,65,67,14,27,70,831,41,176,52,0,0,0,100,0,0,0,0,177,0,0,0,64,0,35,52,435,1138,78,0,44,51,0,76,0,66,68,0,40,2568,0,0,0,81,12,0,31,299,245,0,110,64,138,38,130,136,0,20,6,64,0,87,30,382,0,50
"Barnesiellaceae_Coprobacter",4,21,218,50,39,8,0,0,83,23,0,74,0,0,13,0,0,86,0,0,0,0,0,10,93,227,72,3,2,0,0,253,0,99,0,53,131,815,158,0,0,249,0,98,464,0,452,0,0,193,0,380,0,247,699,0,21,0,4,15,145,14,0,35,660,112,1069,362,0,18,132,78,8,0,212,10,16,0,59,33,85,102,10,0,0,28,0,91,0,4,575,0,0,0,21,0,0,0,0,179,499,0,21,298,0,0,399,7,0,0,0,0,0,70,330,30,35,29,36,0,0,0,0,290,52,0,0,0,27
"Lachnospiraceae_Hungatella",8,0,26,8,0,0,18,0,23,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,36,300,430,3110,8,40,62,75,117,35,0,68,119,86,0,91,0,19,0,11,0,70,0,160,0,0,98,0,35,24,0,0,138,0,0,17,21,16,288,0,0,172,2236,26,0,0,183,41,0,36,0,0,11,31,0,0,0,0,0,0,10,0,8,15,61,60,0,61,0,53,0,39,0,0,0,78,71,0,2985,47,1937,54,0,27,0,0,0,0,1163,0,365,60,74,389,131,0,596,0
"Peptococcaceae_Peptococcus",0,0,36,105,0,65,0,0,0,0,0,320,0,0,0,376,4,200,0,0,0,37,0,7,0,3,335,0,124,12,0,173,427,21,0,0,487,423,0,0,192,0,11,0,0,0,256,263,0,0,0,0,21,0,62,61,0,0,16,525,33,29,732,6,2,0,21,40,23,6,0,0,198,0,234,1170,19,0,15,8,0,567,14,0,0,95,0,180,0,4,0,0,0,0,0,0,84,0,0,1149,0,167,960,34,0,0,17,0,0,1270,930,0,137,15,763,4,0,523,137,0,0,0,0,267,0,0,480,0,0
"Barnesiellaceae_Barnesiella",0,32,40,42,139,0,12,20,91,37,49,66,43,0,40,0,9,201,6,0,10,32,0,46,14,8,649,5,125,0,1111,75,419,204,0,1854,2573,240,443,0,0,0,498,230,763,80,2278,64,0,38,0,778,0,822,260,65,0,0,633,1388,32,17,0,40,0,176,86,212,0,37,363,644,382,17,35,0,114,1194,0,0,7,143,0,0,0,0,0,47,0,161,679,10,5,0,106,0,73,0,315,528,0,0,608,0,0,154,1820,6,0,1963,0,103,0,452,104,207,136,93,317,0,0,0,0,74,327,2671,36,8,130
"Anaerovoracaceae_Family.XIII.UCG.001",35,94,42,74,125,50,30,64,178,5,26,92,44,0,115,60,8,60,0,23,48,19,23,40,0,11,83,58,17,103,0,265,85,46,0,182,75,315,34,84,189,476,525,45,880,22,408,254,132,64,15,19,39,4,687,71,0,23,62,112,106,57,45,63,121,39,24,194,0,548,61,106,72,76,210,36,43,7,27,195,43,105,78,183,0,18,35,19,128,223,62,38,35,47,336,0,28,2,27,111,0,171,133,379,60,30,71,47,38,9,380,0,0,9,160,340,168,200,108,0,34,0,23,0,16,113,148,149,137
"Lachnospiraceae_Lachnospiraceae.UCG.009",9,24,0,0,0,9,0,78,0,68,0,0,0,0,15,0,0,0,31,0,0,6,0,8,0,0,34,0,0,11,0,138,0,0,477,0,46,67,34,0,1645,25,135,0,85,0,119,8,0,13,0,0,0,26,149,0,0,127,0,0,0,43,0,147,0,73,42,158,13,27,30,65,48,212,130,0,21,43,20,140,32,0,0,39,75,19,0,0,0,20,0,0,0,29,0,134,55,0,19,23,1082,0,13,106,0,0,16,0,0,910,31,122,14,0,149,55,0,24,21,690,0,0,0,184,136,36,0,79,0
"Erysipelotrichaceae_.Clostridium..innocuum.group",0,17,0,0,0,0,0,47,0,15,4,4,0,0,0,7,0,0,0,5,0,0,4,0,0,0,0,0,0,8,107,9,480,35,216,0,15,0,0,1454,0,0,0,52,0,0,0,0,0,0,17,6,5,40,3,0,0,91,0,0,7,11,0,10,63,20,0,57,8,41,13,0,0,90,0,132,0,32,38,0,0,0,27,31,32,0,17,0,26,0,0,0,78,10,0,208,4,4,3,3,96,0,8,0,30,18,16,27,0,376,0,82,16,0,7,5,2,0,0,24,23,2175,0,4,51,0,69,82,0
"Ruminococcaceae_Fournierella",0,341,0,11,6,19,7,19,198,0,201,39,68,18,272,139,0,6,0,0,20,79,18,78,0,59,12,0,75,93,0,73,106,63,0,158,179,326,417,283,102,187,168,0,69,124,141,17,51,102,0,26,275,24,60,244,0,0,62,12,14,36,0,186,482,93,32,50,442,324,82,0,18,975,22,165,202,70,142,301,51,29,51,64,0,48,55,0,78,12,87,32,114,109,135,84,24,0,21,19,0,0,92,26,464,115,79,1220,124,45,246,18,397,231,50,521,24,66,0,89,111,0,1698,54,204,67,945,126,0
"Anaerovoracaceae_.Eubacterium..brachy.group",0,0,0,0,0,0,0,0,4,0,6,8,0,23,4,24,4,11,88,3,0,0,328,0,22,0,0,0,5,52,0,19,3156,19,15,65,525,56,7,551,8,21,36,72,0,8,16,0,5,0,0,0,18,16,0,0,0,257,0,18,79,0,6,42,108,5,0,123,0,3,288,28,0,0,16,164,0,66,60,3,0,0,16,155,0,0,81,0,0,12,224,26,142,169,28,32,0,0,7,55,4,0,17,126,900,250,0,230,55,9,0,0,51,80,76,16,45,0,0,47,0,0,81,135,77,0,9,38,10
"Ruminococcaceae_DTU089",0,0,0,0,0,33,0,0,35,10,0,22,0,0,0,0,0,13,0,0,0,0,7,7,0,0,5,26,17,0,0,65,0,0,55,241,108,557,143,0,191,233,1349,0,14,0,90,0,23,38,0,0,0,63,51,0,0,67,23,0,24,0,0,247,57,14,0,47,30,115,43,8,8,38,0,0,36,941,0,92,0,0,0,0,0,0,0,0,0,18,57,0,10,56,0,0,16,0,118,0,0,0,65,6,0,10,58,12,0,0,362,43,0,0,131,21,0,0,0,249,0,0,0,0,58,0,0,110,7
"Lachnospiraceae_.Bacteroides..pectinophilus.group",0,0,0,0,46,0,0,0,7,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,621,1585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104,0,0,0,0,0,0,0,242,0,287,0,0,0,0,132,0,0,0,0,0,0,0,0,0,0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,444,0,0,0,317,0,0,0,0,0,0,0,0,0,0,833,0,0
"Lactobacillaceae_Limosilactobacillus",0,0,0,0,0,0,0,0,0,0,0,88,0,2576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141,0,0,80,98,0,0,0,0,0,0,0,0,353,0,0,0,0,0,0,0,0,0,0,0,0,107,0,0,6,0,0,0,0,78,0,0,10,0,1415,0,0,45,0,0,0,0,0,0,0,0,0,0,84,0,20,0,0,0,0,0,0,0,434,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,35,32,0,0,0,0,163,0,0,0,0,0,59,105,0,0,0,0,0,0,0,72
"Porphyromonadaceae_Porphyromonas",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,24,0,5,0,0,53,0,0,2,3220,0,0,0,0,0,0,196,0,0,207,0,320,0,0,0,0,0,168,0,0,0,0,5,0,0,0,0,0,0,0,0,49,0,0,0,0,0,175,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,2296,0,0,0,21,0,0,33,0,0,0,0,0,420,0,0,279,0,0,0,0,0,0,0,0,0,0
"Marinifilaceae_Butyricimonas",4,31,11,12,0,9,0,23,30,7,82,41,0,0,33,0,0,82,26,0,4,0,0,6,10,0,113,0,146,0,0,37,1654,63,231,628,537,467,195,0,102,566,427,138,47,2,248,31,0,43,0,0,8,577,764,48,0,0,17,21,78,35,0,98,0,0,413,0,0,34,29,63,19,683,456,0,39,0,0,12,52,164,0,0,0,14,0,28,0,5,27,10,2,29,31,112,20,0,52,63,124,0,298,0,0,0,1493,18,0,1868,0,188,0,40,60,126,34,0,641,6,21,49,12,591,275,125,58,85,14
"Prevotellaceae_Prevotellaceae.UCG.001",0,0,60,0,0,0,0,0,0,0,2,0,0,0,149,0,0,90,0,0,0,48,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108,0,0,0,0,0,578,339,0,0,0,450,267,0,12,0,134,0,0,0,0,0,0,0,0,0,0,23,0,283,0,0,20,0,0,0,0,0,0,0,0,0,0,30,0,0,78,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,115,0,0,0,35,0,399,0,9,0,0,0,0,139,0,0,193,0,176
"Veillonellaceae_Allisonella",0,0,0,0,0,0,0,0,0,0,0,12,0,0,30,0,0,0,74,0,0,0,0,0,0,0,0,0,0,0,0,0,108,0,0,0,0,0,879,0,0,0,0,0,0,93,67,0,0,0,61,0,0,0,302,31,0,0,0,0,16,21,0,58,0,0,0,0,0,0,111,0,0,0,0,23,67,0,0,66,0,11,18,0,0,0,0,11,0,0,0,0,0,0,0,34,0,0,0,0,8,33,35,0,0,0,0,9,0,0,83,6,230,0,319,0,0,0,0,0,0,0,0,136,125,0,107,0,29
