"","ERR3446848","ERR3446849","ERR3446850","ERR3446851","ERR3446852","ERR3446853","ERR3446854","ERR3446855","ERR3446856","ERR3446857","ERR3446858","ERR3446859","ERR3446860","ERR3446861","ERR3446862","ERR3446863","ERR3446864","ERR3446865","ERR3446866","ERR3446867","ERR3446868","ERR3446869","ERR3446870","ERR3446871"
"Ruminococcaceae_Anaerotruncus",0,5,0,0,34,0,0,0,0,0,0,0,8,14,0,0,3,0,22,15,0,17,19,0
"Lachnospiraceae_Marvinbryantia",0,0,7,0,20,0,0,0,0,0,0,9,0,0,11,0,6,0,27,7,0,0,0,9
"Eggerthellaceae_Enterorhabdus",0,0,0,0,0,5,20,0,6,0,0,3,0,0,0,0,0,0,5,0,2,0,27,16
"Lachnospiraceae_Lachnospiraceae.FCS020.group",0,18,31,44,0,0,0,23,0,0,0,0,0,0,0,0,5,22,0,0,0,0,0,0
"Ruminococcaceae_Paludicola",0,0,0,0,2,0,4,0,0,0,0,0,0,0,0,29,0,0,2,0,0,0,0,0
"Marinifilaceae_Sanguibacteroides",0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lachnospiraceae_Lachnospiraceae.UCG.009",0,0,0,0,0,21,0,0,0,0,0,0,0,0,4,0,0,0,0,0,5,0,0,0
"Anaerovoracaceae_S5.A14a",0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,26,0,0,0
"Peptostreptococcaceae_Peptostreptococcus",0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,23,0,0,0
"Micrococcaceae_Rothia",0,0,12,0,0,0,4,15,0,0,0,0,0,0,0,4,0,0,0,0,3,0,0,0
"Lachnospiraceae_Shuttleworthia",0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Campylobacteraceae_Campylobacter",0,0,0,0,0,0,0,8,0,4,0,0,20,0,0,4,0,0,0,0,0,0,9,0
"Neisseriaceae_Eikenella",0,0,0,0,0,4,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Eggerthellaceae_Gordonibacter",0,0,4,9,0,0,0,0,0,0,0,0,0,14,3,0,13,0,0,0,0,0,0,0
"Lachnospiraceae_Lachnospiraceae.UCG.008",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0
